Song,Title,Book,Length,Offset,Start,End
SOUL SAUCE (Wachi Wara)          ,SOUL SAUCE (Wachi Wara) - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,296,296
SPEAK NO EVIL                  ,SPEAK NO EVIL - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,297,297
SPIRAL                         ,SPIRAL - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,298,299
ST. THOMAS                     ,ST. THOMAS - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,301,301
STICKY WICKET                  ,STICKY WICKET - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,302,303
STREET LIFE                    ,STREET LIFE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,304,305
SUDDEN SAMBA                   ,SUDDEN SAMBA - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,307,307
SUNRUNNER                      ,SUNRUNNER - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,308,309
"TAKE THE ""A"" TRAIN             ","TAKE THE ""A"" TRAIN - Eb Item nrb1",The New Real Book Eb I.pdf,2,0,310,311
TENDERLY                       ,TENDERLY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,312,312
THEME FOR ERNIE                ,THEME FOR ERNIE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,313,313
THERE WILL NEVER BE ANOTHER YOU,THERE WILL NEVER BE ANOTHER YOU - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,314,314
THESE FOOLISH THINGS           ,THESE FOOLISH THINGS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,315,315
THIS MASQUERADE                ,THIS MASQUERADE - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,317,317
THE THREE MARIAS               ,THE THREE MARIAS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,318,319
THREE VIEWS OF A SECRET        ,THREE VIEWS OF A SECRET - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,320,321
TIME REMEMBERS ONE TIME ONCE   ,TIME REMEMBERS ONE TIME ONCE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,322,322
TRISTE                         ,TRISTE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,323,323
TUNE UP                        ,TUNE UP - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,325,325
TURN YOUR LOVE AROUND          ,TURN YOUR LOVE AROUND - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,326,327
TWISTED                        ,TWISTED - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,328,329
UNIT SEVEN                     ,UNIT SEVEN - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,330,331
UP JUMPED SPRING               ,UP JUMPED SPRING - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,333,333
VELAS (Velas Icadas)           ,VELAS (Velas Icadas) - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,334,335
VERY EARLY                     ,VERY EARLY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,336,336
VOYAGE                         ,VOYAGE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,337,337
WALTZ FOR DEBBY                ,WALTZ FOR DEBBY - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,338,339
WALTZ NEW                      ,WALTZ NEW - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,341,341
WATERWINGS                     ,WATERWINGS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,342,343
WAVE                           ,WAVE - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,344,345
A WEAVER OF DREAMS             ,A WEAVER OF DREAMS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,346,346
WE'LL BE TOGETHER AGAIN        ,WE'LL BE TOGETHER AGAIN - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,347,347
WELL  YOU NEEDN'T              ,WELL YOU NEEDN'T - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,348,348
