Song,Title,Book,Length,Offset,Start,End
POLKADOTS AND MOONBEAMS          ,POLKADOTS AND MOONBEAMS - C Item nrb1,The New Real Book C.pdf,2,0,286,287
PORTRAIT OF TRACY                ,PORTRAIT OF TRACY - C Item nrb1,The New Real Book C.pdf,2,0,288,289
PROMENADE                        ,PROMENADE - C Item nrb1,The New Real Book C.pdf,2,0,290,291
PUT IT WHERE YOU WANT IT         ,PUT IT WHERE YOU WANT IT - C Item nrb1,The New Real Book C.pdf,2,0,292,293
P.Y.T. (Pretty Young Thing)      ,P.Y.T. (Pretty Young Thing) - C Item nrb1,The New Real Book C.pdf,2,0,294,295
QUINTESSENCE                     ,QUINTESSENCE - C Item nrb1,The New Real Book C.pdf,1,0,296,296
RAPTURE                          ,RAPTURE - C Item nrb1,The New Real Book C.pdf,1,0,297,297
RE: PERSON I KNEW                ,RE: PERSON I KNEW - C Item nrb1,The New Real Book C.pdf,1,1,299,299
REINCARNATION OF A LOVEBIRD      ,REINCARNATION OF A LOVEBIRD - C Item nrb1,The New Real Book C.pdf,2,0,300,301
REMEMBER ROCKEFELLER AT ATTICA   ,REMEMBER ROCKEFELLER AT ATTICA - C Item nrb1,The New Real Book C.pdf,1,1,303,303
RIO                              ,RIO - C Item nrb1,The New Real Book C.pdf,2,0,304,305
RIVER PEOPLE                     ,RIVER PEOPLE - C Item nrb1,The New Real Book C.pdf,3,1,307,309
ROBBINS NEST                     ,ROBBINS NEST - C Item nrb1,The New Real Book C.pdf,2,0,310,311
RUBY MY DEAR                    ,RUBY MY DEAR - C Item nrb1,The New Real Book C.pdf,2,0,312,313
RUSH HOUR                        ,RUSH HOUR - C Item nrb1,The New Real Book C.pdf,2,0,314,315
SAFARI                           ,SAFARI - C Item nrb1,The New Real Book C.pdf,4,0,316,319
SANDU                            ,SANDU - C Item nrb1,The New Real Book C.pdf,1,0,320,320
SATIN DOLL                       ,SATIN DOLL - C Item nrb1,The New Real Book C.pdf,1,0,321,321
SAVE YOUR LOVE FOR ME            ,SAVE YOUR LOVE FOR ME - C Item nrb1,The New Real Book C.pdf,2,0,322,323
SEARCH FOR PEACE                 ,SEARCH FOR PEACE - C Item nrb1,The New Real Book C.pdf,1,1,325,325
SELF PORTRAIT IN THREE COLORS    ,SELF PORTRAIT IN THREE COLORS - C Item nrb1,The New Real Book C.pdf,2,0,326,327
SHAKER SONG                      ,SHAKER SONG - C Item nrb1,The New Real Book C.pdf,2,0,328,329
SHAW 'NUFF                       ,SHAW 'NUFF - C Item nrb1,The New Real Book C.pdf,2,0,330,331
SIMPLE SAMBA                     ,SIMPLE SAMBA - C Item nrb1,The New Real Book C.pdf,2,0,332,333
SKYLARK                          ,SKYLARK - C Item nrb1,The New Real Book C.pdf,1,0,334,334
A SLEEPIN' BEE                   ,A SLEEPIN' BEE - C Item nrb1,The New Real Book C.pdf,1,0,335,335
SMALL DAY TOMORROW               ,SMALL DAY TOMORROW - C Item nrb1,The New Real Book C.pdf,2,0,336,337
SOLAR                            ,SOLAR - C Item nrb1,The New Real Book C.pdf,1,0,338,338
SOMEDAY MY PRINCE WILL COME      ,SOMEDAY MY PRINCE WILL COME - C Item nrb1,The New Real Book C.pdf,1,0,339,339
SONG FOR LORRAINE                ,SONG FOR LORRAINE - C Item nrb1,The New Real Book C.pdf,2,0,340,341
THIS SONG IS YOU,THIS SONG IS YOU - C Item nrb1,The New Real Book C.pdf,2,0,342,343
SONJA'S SANF'ONA                 ,SONJA'S SANF'ONA - C Item nrb1,The New Real Book C.pdf,4,0,344,347
SOUL SAUCE (Wachi Wara)          ,SOUL SAUCE (Wachi Wara) - C Item nrb1,The New Real Book C.pdf,1,0,348,348
SPEAK NO EVIL                  ,SPEAK NO EVIL - C Item nrb1,The New Real Book C.pdf,1,0,349,349
SPIRAL                         ,SPIRAL - C Item nrb1,The New Real Book C.pdf,2,0,350,351
ST. THOMAS                     ,ST. THOMAS - C Item nrb1,The New Real Book C.pdf,1,1,353,353
STICKY WICKET                  ,STICKY WICKET - C Item nrb1,The New Real Book C.pdf,4,0,354,357
STREET LIFE                    ,STREET LIFE - C Item nrb1,The New Real Book C.pdf,2,0,358,359
SUDDEN SAMBA                   ,SUDDEN SAMBA - C Item nrb1,The New Real Book C.pdf,1,1,361,361
SUNRUNNER                      ,SUNRUNNER - C Item nrb1,The New Real Book C.pdf,2,0,362,363
"TAKE THE ""A"" TRAIN             ","TAKE THE ""A"" TRAIN - C Item nrb1",The New Real Book C.pdf,2,0,364,365
TENDERLY                       ,TENDERLY - C Item nrb1,The New Real Book C.pdf,1,0,366,366
THEME FOR ERNIE                ,THEME FOR ERNIE - C Item nrb1,The New Real Book C.pdf,1,0,367,367
THERE WILL NEVER BE ANOTHER YOU,THERE WILL NEVER BE ANOTHER YOU - C Item nrb1,The New Real Book C.pdf,1,0,368,368
THESE FOOLISH THINGS           ,THESE FOOLISH THINGS - C Item nrb1,The New Real Book C.pdf,1,0,369,369
THIS MASQUERADE                ,THIS MASQUERADE - C Item nrb1,The New Real Book C.pdf,1,1,371,371
THE THREE MARIAS               ,THE THREE MARIAS - C Item nrb1,The New Real Book C.pdf,7,0,372,378
THREE VIEWS OF A SECRET        ,THREE VIEWS OF A SECRET - C Item nrb1,The New Real Book C.pdf,2,1,380,381
TIME REMEMBERS ONE TIME ONCE   ,TIME REMEMBERS ONE TIME ONCE - C Item nrb1,The New Real Book C.pdf,1,0,382,382
TRISTE                         ,TRISTE - C Item nrb1,The New Real Book C.pdf,1,0,383,383
TUNE UP                        ,TUNE UP - C Item nrb1,The New Real Book C.pdf,1,1,385,385
TURN YOUR LOVE AROUND          ,TURN YOUR LOVE AROUND - C Item nrb1,The New Real Book C.pdf,2,0,386,387
TWISTED                        ,TWISTED - C Item nrb1,The New Real Book C.pdf,2,0,388,389
UNIT SEVEN                     ,UNIT SEVEN - C Item nrb1,The New Real Book C.pdf,2,0,390,391
UP JUMPED SPRING               ,UP JUMPED SPRING - C Item nrb1,The New Real Book C.pdf,1,1,393,393
UP WITH THE LARK,UP WITH THE LARK - C Item nrb1,The New Real Book C.pdf,2,0,394,395
VELAS (Velas Icadas)           ,VELAS (Velas Icadas) - C Item nrb1,The New Real Book C.pdf,2,0,396,397
VERY EARLY                     ,VERY EARLY - C Item nrb1,The New Real Book C.pdf,1,0,398,398
VOYAGE                         ,VOYAGE - C Item nrb1,The New Real Book C.pdf,1,0,399,399
WALTZ FOR DEBBY                ,WALTZ FOR DEBBY - C Item nrb1,The New Real Book C.pdf,2,0,400,401
WALTZ NEW                      ,WALTZ NEW - C Item nrb1,The New Real Book C.pdf,1,0,402,402
WATCH WHAT HAPPENS,WATCH WHAT HAPPENS - C Item nrb1,The New Real Book C.pdf,1,0,403,403
WATERWINGS                     ,WATERWINGS - C Item nrb1,The New Real Book C.pdf,2,0,404,405
WAVE                           ,WAVE - C Item nrb1,The New Real Book C.pdf,2,0,406,407
THE WAY YOU LOOK TONIGHT,THE WAY YOU LOOK TONIGHT - C Item nrb1,The New Real Book C.pdf,2,0,408,409
A WEAVER OF DREAMS             ,A WEAVER OF DREAMS - C Item nrb1,The New Real Book C.pdf,1,1,411,411
WE'LL BE TOGETHER AGAIN        ,WE'LL BE TOGETHER AGAIN - C Item nrb1,The New Real Book C.pdf,1,0,412,412
WELL YOU NEEDN'T              ,WELL YOU NEEDN'T - C Item nrb1,The New Real Book C.pdf,1,0,413,413
WEST COAST BLUES               ,WEST COAST BLUES - C Item nrb1,The New Real Book C.pdf,1,0,414,414
WHATS NEW?                     ,WHATS NEW? - C Item nrb1,The New Real Book C.pdf,1,0,415,415
WHERE IS LOVE?                 ,WHERE IS LOVE? - C Item nrb1,The New Real Book C.pdf,1,0,416,416
WHO CAN I TURN TO?             ,WHO CAN I TURN TO? - C Item nrb1,The New Real Book C.pdf,1,0,417,417
WILDFLOWER                     ,WILDFLOWER - C Item nrb1,The New Real Book C.pdf,1,0,418,418
WILLOW WEEP FOR ME             ,WILLOW WEEP FOR ME - C Item nrb1,The New Real Book C.pdf,1,0,419,419
WITCHCRAFT                     ,WITCHCRAFT - C Item nrb1,The New Real Book C.pdf,1,0,420,420
YES AND NO                     ,YES AND NO - C Item nrb1,The New Real Book C.pdf,1,0,421,421
YESTERDAYS,YESTERDAYS - C Item nrb1,The New Real Book C.pdf,1,0,422,422
YOUNG RABBITS                  ,YOUNG RABBITS - C Item nrb1,The New Real Book C.pdf,1,0,423,423
YOUR MIND IS ON VACATION       ,YOUR MIND IS ON VACATION - C Item nrb1,The New Real Book C.pdf,2,0,424,425
ALL OR NOTHING AT ALL,ALL OR NOTHING AT ALL - C Item nrb1,The New Real Book C.pdf,2,18,444,445
DO NOTHING ’TIL YOU HEAR FROM ME,DO NOTHING ’TIL YOU HEAR FROM ME - C Item nrb1,The New Real Book C.pdf,1,0,446,446
DON’T GET AROUND MUCH ANYMORE,DON’T GET AROUND MUCH ANYMORE - C Item nrb1,The New Real Book C.pdf,1,0,447,447
GOOD MORNING HEARTACHE,GOOD MORNING HEARTACHE - C Item nrb1,The New Real Book C.pdf,1,0,448,448
MISTY,MISTY - C Item nrb1,The New Real Book C.pdf,1,0,449,449
SPEAK LOW,SPEAK LOW - C Item nrb1,The New Real Book C.pdf,2,0,450,451
STORMY WEATHER,STORMY WEATHER - C Item nrb1,The New Real Book C.pdf,2,0,452,453
AFFIRMATION             ,AFFIRMATION - C Page nrb1,The New Real Book C.pdf,1,0,14,
